SOC,Data_Point,Test_Time(s),Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
0.16,75557.5,83270.80718003606,337.92606475940715,7.0,10.0,-0.000159430421060986,3.514846349755923,0.1617381042935401,1.8417295033269703,0.6073402356286862,6.4375766069885865,-1.642427004197897e-05,0.0,0.0,0.0,0.0
0.17,75557.5,83270.74431018421,337.8631948808283,7.0,10.0,-0.00014163448776997311,3.5251639980665397,0.17176130175624257,1.831686538835215,0.6451719375188731,6.4047794450046,-1.0963642176955572e-05,0.0,0.0,0.0,0.0
0.18,75557.5,83270.73956278825,337.8584474654127,7.0,10.0,-0.00015176307987159406,3.534720998414805,0.18171885832747808,1.8217235858386158,0.6828434853837508,6.372133027979369,-1.9101246463423464e-05,0.0,0.0,0.0,0.0
0.19,75641.26573426573,83355.39292370547,339.58985210413465,7.013986013986014,10.006993006993007,0.006835346038524921,3.5458630815252556,0.19298067626843446,1.8129921459547886,0.7254523382345679,6.343258178789426,-2.4277247652131412e-05,0.0,0.0,0.0,0.0
0.2,75473.73426573427,83186.18048984563,336.2213308298658,6.986013986013986,9.993006993006993,-0.007134019078074635,3.5537813776856537,0.20049220111445537,1.800435128329029,0.7541907839540274,6.302198938625775,-7.379523981557963e-05,0.0,0.0,0.0,0.0
0.21,75562.84815226452,83275.23537080296,3570.766006954235,7.99069185884968,9.502222839677689,-1.7342856606697832e-06,3.565535263241447,0.216067331814983,1.7935663904380226,0.8134040914089894,6.279210029964082,4.928313475519457e-07,0.0,0.0,0.0,0.0
0.22,75694.6013986014,83407.31532842293,336.1281874049164,7.013986013986014,10.013986013986013,0.006824025740990272,3.5592631059926707,0.223175352009998,1.7832264100895179,0.8403553092220416,6.244899751422201,0.0001029275754135724,0.0,0.0,0.0,0.0
0.23,75424.3986013986,83134.36799316175,339.7945794496305,6.986013986013986,9.986013986013987,-0.00716796579894486,3.5641362550375346,0.2302600510912115,1.7702502199961594,0.8676456780457621,6.202376395691661,5.635057907336606e-06,0.0,0.0,0.0,0.0
0.24,75559.5,83270.85146728835,337.9711899289011,7.0,10.0,-0.0001530290489465418,3.5712165698199203,0.24172223393455172,1.7617317044384129,0.9113460916457002,6.1739490183988925,-8.194224482023446e-06,0.0,0.0,0.0,0.0
0.25,75696.0979020979,83408.82154663379,337.6344056434491,7.013986013986014,10.013986013986013,0.006818998110044253,3.5775238083792735,0.2533921165535914,1.7534188996226918,0.9558835376544137,6.14614887627712,-1.631846309108725e-05,0.0,0.0,0.0,0.0
0.26,75422.9020979021,83132.81182774654,338.2384140169786,6.986013986013986,9.986013986013987,-0.007174254297376513,3.578202652764487,0.26004934436625315,1.740020391588249,0.9816854238620888,6.102058515639154,-1.721917515233081e-05,0.0,0.0,0.0,0.0
0.27,75559.5,83270.78434629067,337.90406894146884,7.0,10.0,-0.00016949042468003824,3.584116349757557,0.27172600530208585,1.7317006517272868,1.0263130984578683,6.074128918726835,-1.939296822123472e-05,0.0,0.0,0.0,0.0
0.28,75697.59440559441,83410.27256746018,339.0854264577271,7.013986013986014,10.013986013986013,0.006836603154669275,3.590213262117826,0.28361776606279204,1.723586628251711,1.0717944249651548,6.0468291133468055,-2.243905811581982e-05,0.0,0.0,0.0,0.0
0.29,75560.0,83271.24646068549,338.3661833229744,7.0,10.0,-0.00015429627727454816,3.593720152344502,0.2917827969207211,1.711765022555713,1.1033140757183044,6.007582104366129,-4.651729619248547e-05,0.0,0.0,0.0,0.0
0.3,75420.90909090909,83130.75643660092,336.1830229074589,6.986013986013986,9.986013986013987,-0.007157908452974333,3.5992127298475145,0.2997445043641977,1.6997422392906758,1.134079798162164,5.967566809204963,-8.864665564338487e-05,0.0,0.0,0.0,0.0
0.31,75563.26326757432,83274.57637165968,3570.706431390981,7.9903445401500415,9.502222839677689,6.761034434621418e-05,3.6045672659179706,0.31600904925950196,1.693565470158342,1.1964640353897287,5.946482970300301,1.0925173146059215e-05,0.0,0.0,0.0,0.0
0.32,75370.57342657342,83079.50688368929,340.3202164941219,6.986013986013986,9.979020979020978,-0.007160423102078738,3.6116551069112925,0.3196280579494027,1.6796016668830187,1.2107373791309193,5.90002658354379,1.950670116934339e-05,0.0,0.0,0.0,0.0
0.33,75560.0,83270.85218960284,337.9737828073766,7.0,10.0,-0.00016695638777504504,3.6177096820213426,0.3317197318691612,1.6717069574936039,1.2574252427365238,5.873308543702788,-7.528192288870267e-06,0.0,0.0,0.0,0.0
